Packet ID,Source Address,Hop Count,New Addresses Seen,Port,Protocol,flow_window_packet_count,prefix_window_packet_count,flow_window_start_time 1,flow_window_start_time 2,flow_window_start_time 3,prefix_window_start_time 1,prefix_window_start_time 2,prefix_window_start_time 3
7,43000000,4000000,3000000,0,1000000,7000000,21000000,278188420,278188420,278201013,278073975,278073975,278073975
7,103000000,7000000,3000000,0,1000000,7000000,19000000,278199380,278282667,278201013,278199380,278199380,278199380
7,63000000,5000000,3000000,0,1000000,13000000,20000000,278201013,278280428,278201013,278092652,278092652,278092652
7,83000000,6000000,3000000,0,1000000,14000000,20000000,278092652,278177610,278201013,278177610,278177610,278177610
7,104000000,7000000,3000000,0,1000000,7000000,20000000,278242332,278282667,278280428,278199380,278199380,278199380
8,24000000,3000000,3000000,0,1000000,8000000,22000000,278044940,278078530,278280428,278044940,278044940,278044940
8,42000000,4000000,3000000,0,1000000,8000000,22000000,278073975,278188420,278282667,278073975,278073975,278073975
8,22000000,3000000,3000000,0,1000000,8000000,23000000,278051759,278078530,278282667,278044940,278044940,278044940
7,102000000,7000000,3000000,0,1000000,7000000,21000000,278282667,278282667,278282667,278199380,278199380,278199380
7,64000000,5000000,3000000,0,1000000,7000000,21000000,278280428,278280428,278280428,278092652,278092652,278092652
7,82000000,6000000,3000000,0,1000000,14000000,21000000,278201013,278177610,278282667,278177610,278177610,278177610
8,23000000,3000000,3000000,0,1000000,8000000,24000000,278078530,278078530,278201013,278044940,278044940,278044940
8,62000000,5000000,3000000,0,1000000,15000000,22000000,278092652,278280428,278282667,278092652,278092652,278092652
8,44000000,4000000,3000000,0,1000000,8000000,23000000,278175307,278188420,278280428,278073975,278073975,278073975
8,84000000,6000000,3000000,0,1000000,8000000,22000000,278177610,278177610,278280428,278177610,278177610,278177610
8,43000000,4000000,3000000,0,1000000,8000000,24000000,278188420,278188420,278201013,278073975,278073975,278073975
8,103000000,7000000,3000000,0,1000000,8000000,22000000,278199380,278282667,278201013,278199380,278199380,278199380
8,63000000,5000000,3000000,0,1000000,15000000,23000000,278201013,278280428,278201013,278092652,278092652,278092652
8,83000000,6000000,3000000,0,1000000,16000000,23000000,278092652,278177610,278201013,278177610,278177610,278177610
8,104000000,7000000,3000000,0,1000000,8000000,23000000,278242332,278282667,278280428,278199380,278199380,278199380
9,24000000,3000000,3000000,0,1000000,9000000,25000000,278044940,278078530,278280428,278044940,278044940,278044940
9,42000000,4000000,3000000,0,1000000,9000000,25000000,278073975,278188420,278282667,278073975,278073975,278073975
9,22000000,3000000,3000000,0,1000000,9000000,26000000,278051759,278078530,278282667,278044940,278044940,278044940
8,102000000,7000000,3000000,0,1000000,8000000,24000000,278282667,278282667,278282667,278199380,278199380,278199380
8,64000000,5000000,3000000,0,1000000,8000000,24000000,278280428,278280428,278280428,278092652,278092652,278092652
8,82000000,6000000,3000000,0,1000000,16000000,24000000,278201013,278177610,278282667,278177610,278177610,278177610
9,23000000,3000000,3000000,0,1000000,9000000,27000000,278078530,278078530,278201013,278044940,278044940,278044940
9,62000000,5000000,3000000,0,1000000,17000000,25000000,278092652,278280428,278282667,278092652,278092652,278092652
9,44000000,4000000,3000000,0,1000000,9000000,26000000,278175307,278188420,278280428,278073975,278073975,278073975
9,43000000,4000000,3000000,0,1000000,9000000,27000000,278188420,278188420,278201013,278073975,278073975,278073975
9,84000000,6000000,3000000,0,1000000,9000000,25000000,278177610,278177610,278280428,278177610,278177610,278177610
9,103000000,7000000,3000000,0,1000000,9000000,25000000,278199380,278282667,278201013,278199380,278199380,278199380
9,63000000,5000000,3000000,0,1000000,17000000,26000000,278201013,278280428,278201013,278092652,278092652,278092652
9,83000000,6000000,3000000,0,1000000,18000000,26000000,278092652,278177610,278201013,278177610,278177610,278177610
9,104000000,7000000,3000000,0,1000000,9000000,26000000,278242332,278282667,278280428,278199380,278199380,278199380
10,24000000,3000000,3000000,0,1000000,10000000,28000000,278044940,278078530,278280428,278044940,278044940,278044940
10,42000000,4000000,3000000,0,1000000,10000000,28000000,278073975,278188420,278282667,278073975,278073975,278073975
10,22000000,3000000,3000000,0,1000000,10000000,29000000,278051759,278078530,278282667,278044940,278044940,278044940
9,64000000,5000000,3000000,0,1000000,9000000,27000000,278280428,278280428,278280428,278092652,278092652,278092652
9,102000000,7000000,3000000,0,1000000,9000000,27000000,278282667,278282667,278282667,278199380,278199380,278199380
9,82000000,6000000,3000000,0,1000000,18000000,27000000,278201013,278177610,278282667,278177610,278177610,278177610
10,23000000,3000000,3000000,0,1000000,10000000,30000000,278078530,278078530,278201013,278044940,278044940,278044940
10,62000000,5000000,3000000,0,1000000,19000000,28000000,278092652,278280428,278282667,278092652,278092652,278092652
10,44000000,4000000,3000000,0,1000000,10000000,29000000,278175307,278188420,278280428,278073975,278073975,278073975
10,43000000,4000000,3000000,0,1000000,10000000,30000000,278188420,278188420,278201013,278073975,278073975,278073975
10,84000000,6000000,3000000,0,1000000,10000000,28000000,278177610,278177610,278280428,278177610,278177610,278177610
10,103000000,7000000,3000000,0,1000000,10000000,28000000,278199380,278282667,278201013,278199380,278199380,278199380
10,63000000,5000000,3000000,0,1000000,19000000,29000000,278201013,278280428,278201013,278092652,278092652,278092652
10,83000000,6000000,3000000,0,1000000,20000000,29000000,278092652,278177610,278201013,278177610,278177610,278177610
10,104000000,7000000,3000000,0,1000000,10000000,29000000,278242332,278282667,278280428,278199380,278199380,278199380
11,24000000,3000000,3000000,0,1000000,11000000,31000000,278044940,278078530,278280428,278044940,278044940,278044940
11,42000000,4000000,3000000,0,1000000,11000000,31000000,278073975,278188420,278282667,278073975,278073975,278073975
1,1000000,1000000,0,8000000,1000000,1000000,1000000,280332522,280332522,280332522,280332522,280332522,280332522
1,0,1000000,0,7000000,1000000,1000000,2000000,280333199,280333199,280333199,280332522,280332522,280332522
2,1000000,1000000,0,8000000,1000000,2000000,3000000,280332522,280333199,280332522,280332522,280332522,280332522
2,0,1000000,0,7000000,1000000,2000000,4000000,280333199,280333199,280333199,280332522,280332522,280332522
3,1000000,1000000,0,8000000,1000000,3000000,5000000,280332522,280333199,280332522,280332522,280332522,280332522
3,0,1000000,0,7000000,1000000,3000000,6000000,280333199,280333199,280333199,280332522,280332522,280332522
4,1000000,1000000,0,8000000,1000000,4000000,7000000,280332522,280333199,280332522,280332522,280332522,280332522
4,0,1000000,0,7000000,1000000,4000000,8000000,280333199,280333199,280333199,280332522,280332522,280332522
5,1000000,1000000,0,8000000,1000000,5000000,9000000,280332522,280333199,280332522,280332522,280332522,280332522
5,0,1000000,0,7000000,1000000,5000000,10000000,280333199,280333199,280333199,280332522,280332522,280332522
6,1000000,1000000,0,8000000,1000000,6000000,11000000,280332522,280333199,280332522,280332522,280332522,280332522
6,0,1000000,0,7000000,1000000,6000000,12000000,280333199,280333199,280333199,280332522,280332522,280332522
7,1000000,1000000,0,8000000,1000000,7000000,13000000,280332522,280333199,280332522,280332522,280332522,280332522
7,0,1000000,0,7000000,1000000,7000000,14000000,280333199,280333199,280333199,280332522,280332522,280332522
8,1000000,1000000,0,8000000,1000000,8000000,15000000,280332522,280333199,280332522,280332522,280332522,280332522
8,0,1000000,0,7000000,1000000,8000000,16000000,280333199,280333199,280333199,280332522,280332522,280332522
9,1000000,1000000,0,8000000,1000000,9000000,17000000,280332522,280333199,280332522,280332522,280332522,280332522
