Packet ID,Source Address,Hop Count,New Addresses Seen,Port,Protocol,flow_window_packet_count,prefix_window_packet_count
10,24000000,3000000,3000000,0,1000000,10000000,30000000
10,43000000,4000000,3000000,0,1000000,10000000,28000000
10,42000000,4000000,3000000,0,1000000,10000000,29000000
10,103000000,7000000,3000000,0,1000000,10000000,28000000
10,44000000,4000000,3000000,0,1000000,10000000,30000000
10,84000000,6000000,3000000,0,1000000,10000000,28000000
10,62000000,5000000,3000000,0,1000000,19000000,28000000
10,82000000,6000000,3000000,0,1000000,19000000,29000000
10,63000000,5000000,3000000,0,1000000,20000000,29000000
10,64000000,5000000,3000000,0,1000000,10000000,30000000
11,23000000,3000000,3000000,0,1000000,11000000,31000000
10,83000000,6000000,3000000,0,1000000,20000000,30000000
11,22000000,3000000,3000000,0,1000000,11000000,32000000
1,2000000,1000000,0,9000000,1000000,1000000,1000000
1,0,1000000,0,7000000,1000000,1000000,2000000
1,1000000,1000000,0,8000000,1000000,1000000,3000000
2,2000000,1000000,0,9000000,1000000,2000000,4000000
2,0,1000000,0,7000000,1000000,2000000,5000000
2,1000000,1000000,0,8000000,1000000,2000000,6000000
3,2000000,1000000,0,9000000,1000000,3000000,7000000
3,1000000,1000000,0,8000000,1000000,3000000,8000000
3,0,1000000,0,7000000,1000000,3000000,9000000
4,2000000,1000000,0,9000000,1000000,4000000,10000000
4,0,1000000,0,7000000,1000000,4000000,11000000
4,1000000,1000000,0,8000000,1000000,4000000,12000000
5,2000000,1000000,0,9000000,1000000,5000000,13000000
5,1000000,1000000,0,8000000,1000000,5000000,14000000
5,0,1000000,0,7000000,1000000,5000000,15000000
6,2000000,1000000,0,9000000,1000000,6000000,16000000
6,0,1000000,0,7000000,1000000,6000000,17000000
6,1000000,1000000,0,8000000,1000000,6000000,18000000
7,2000000,1000000,0,9000000,1000000,7000000,19000000
7,0,1000000,0,7000000,1000000,7000000,20000000
7,1000000,1000000,0,8000000,1000000,7000000,21000000
8,2000000,1000000,0,9000000,1000000,8000000,22000000
8,0,1000000,0,7000000,1000000,8000000,23000000
8,1000000,1000000,0,8000000,1000000,8000000,24000000
9,2000000,1000000,0,9000000,1000000,9000000,25000000
9,0,1000000,0,7000000,1000000,9000000,26000000
9,1000000,1000000,0,8000000,1000000,9000000,27000000
10,2000000,1000000,0,9000000,1000000,10000000,28000000
10,0,1000000,0,7000000,1000000,10000000,29000000
10,1000000,1000000,0,8000000,1000000,10000000,30000000
11,2000000,1000000,0,9000000,1000000,11000000,31000000
11,0,1000000,0,7000000,1000000,11000000,32000000
11,1000000,1000000,0,8000000,1000000,11000000,33000000
12,2000000,1000000,0,9000000,1000000,12000000,34000000
12,0,1000000,0,7000000,1000000,12000000,35000000
10,102000000,7000000,3000000,0,1000000,10000000,29000000
12,1000000,1000000,0,8000000,1000000,12000000,36000000
13,2000000,1000000,0,9000000,1000000,13000000,37000000
13,0,1000000,0,7000000,1000000,13000000,38000000
13,1000000,1000000,0,8000000,1000000,13000000,39000000
14,2000000,1000000,0,9000000,1000000,14000000,40000000
14,0,1000000,0,7000000,1000000,14000000,41000000
14,1000000,1000000,0,8000000,1000000,14000000,42000000
15,2000000,1000000,0,9000000,1000000,15000000,43000000
15,0,1000000,0,7000000,1000000,15000000,44000000
15,1000000,1000000,0,8000000,1000000,15000000,45000000
16,2000000,1000000,0,9000000,1000000,16000000,46000000
