Packet ID,Source Address,Flow Inter Packet Times 1,Flow Inter Packet Times 2,Flow Inter Packet Times 3,Prefix Inter Packet Times 1,Prefix Inter Packet Times 2,Prefix Inter Packet Times 3,Hop Count,New Addresses Seen,Port
7,24000000,228040,50928,48436,50928,50928,50928,3000000,3000000,0
7,43000000,227902,40928,79060,40928,40928,40928,4000000,3000000,0
6,103000000,227718,93187,16652,93187,93187,93187,7000000,3000000,0
7,44000000,225968,19912,48044,19912,19912,19912,4000000,3000000,0
7,82000000,212158,161976,126305,161976,161976,161976,6000000,3000000,0
7,83000000,225351,11918,80643,11918,11918,11918,6000000,3000000,0
8,22000000,226174,125652,12143,125652,125652,125652,3000000,3000000,0
7,63000000,12882,200875,964,200875,200875,200875,5000000,3000000,0
7,62000000,1132,168,907,168,168,168,5000000,3000000,0
7,64000000,225005,23962,102477,23962,23962,23962,5000000,3000000,0
8,23000000,216759,40179,39440,40179,40179,40179,3000000,3000000,0
7,84000000,218310,44416,19322,44416,44416,44416,6000000,3000000,0
7,104000000,218615,125395,336,125395,125395,125395,7000000,3000000,0
7,102000000,218659,77,43697,77,77,77,7000000,3000000,0
8,42000000,226197,165357,43145,165357,165357,165357,4000000,3000000,0
8,24000000,233997,68166,63818,68166,68166,68166,3000000,3000000,0
8,43000000,226964,41695,89265,41695,41695,41695,4000000,3000000,0
7,103000000,222464,96992,12152,96992,96992,96992,7000000,3000000,0
8,44000000,231933,24881,45980,24881,24881,24881,4000000,3000000,0
8,82000000,212166,168714,125156,168714,168714,168714,6000000,3000000,0
8,83000000,224989,12991,84300,12991,12991,12991,6000000,3000000,0
9,22000000,229670,121325,16765,121325,121325,121325,3000000,3000000,0
8,62000000,4812,205839,1038,205839,205839,205839,5000000,3000000,0
8,63000000,17855,52,4864,52,52,52,5000000,3000000,0
8,64000000,223714,17823,94258,17823,17823,17823,5000000,3000000,0
8,102000000,213341,116349,27237,116349,116349,116349,7000000,3000000,0
8,84000000,214163,32458,9771,32458,32458,32458,6000000,3000000,0
8,104000000,217565,4147,3738,4147,4147,4147,7000000,3000000,0
9,23000000,222135,32644,31554,32644,32644,32644,3000000,3000000,0
9,42000000,229756,163180,59560,163180,163180,163180,4000000,3000000,0
9,24000000,237007,83038,83260,83038,83038,83038,3000000,3000000,0
9,43000000,230949,42888,98079,42888,42888,42888,4000000,3000000,0
8,103000000,236515,116019,17718,116019,116019,116019,7000000,3000000,0
9,44000000,228059,21991,37032,21991,21991,21991,4000000,3000000,0
9,82000000,216340,188746,129595,188746,188746,188746,6000000,3000000,0
9,83000000,218153,1761,70750,1761,1761,1761,6000000,3000000,0
10,22000000,221421,105739,3991,105739,105739,105739,3000000,3000000,0
9,63000000,4514,203031,2753,203031,203031,203031,5000000,3000000,0
9,62000000,2974,221,744,221,221,221,5000000,3000000,0
9,64000000,234039,30787,100238,30787,30787,30787,5000000,3000000,0
9,84000000,224473,33966,205,33966,33966,33966,6000000,3000000,0
9,102000000,229435,109269,35545,109269,109269,109269,7000000,3000000,0
10,23000000,227735,38958,38435,38958,38958,38958,3000000,3000000,0
9,104000000,230986,5698,10251,5698,5698,5698,7000000,3000000,0
10,42000000,227200,162321,57325,162321,162321,162321,4000000,3000000,0
10,24000000,228689,83992,80963,83992,83992,83992,3000000,3000000,0
10,43000000,231172,46860,101516,46860,46860,46860,4000000,3000000,0
10,44000000,227379,18198,35722,18198,18198,18198,4000000,3000000,0
9,103000000,232454,117487,19000,117487,117487,117487,7000000,3000000,0
10,83000000,214313,183321,55583,183321,183321,183321,6000000,3000000,0
10,63000000,220634,189626,6100,189626,189626,189626,5000000,3000000,0
10,82000000,1036,7136,128579,7136,7136,7136,6000000,3000000,0
11,22000000,224743,101793,2550,101793,101793,101793,3000000,3000000,0
10,62000000,10648,4548,962,4548,4548,4548,5000000,3000000,0
1,0,132870071,132870071,132870071,132870071,132870071,132870071,1000000,0,7000000
2,0,4380,4380,4380,4380,4380,4380,1000000,0,7000000
3,0,4382,4382,4382,4382,4382,4382,1000000,0,7000000
